theta,model,ed_excess,ci_low,ci_high,reference_reversal,generated_reversal,zero_generated_event_upper95,rmst_difference_reduced,reference_nn_correlation,generated_nn_correlation,reference_increment_variance,generated_increment_variance,norm_max,sampling_seconds
0.11,rfm:11,1.1324262347562084,-1.3482409576926546,3.6130934272050714,0.25,0.0,0.045729702330762456,1692.5000000000007,0.9055162088205975,0.8276674263871634,0.008915108852424363,0.01625798782616352,1.1920928955078125e-07,1.1226854734122753
0.11,rfm:22,1.6161160671080599,-0.8645511253408031,4.096783259556923,0.25,0.0,0.045729702330762456,1692.5000000000007,0.9055162088205975,0.8040514528770076,0.008915108852424363,0.02043210414355165,1.1920928955078125e-07,1.0022436268627644
0.11,rfm:33,1.5014959132334813,-0.9791712792153817,3.9821631056823446,0.25,0.0,0.045729702330762456,1692.5000000000007,0.9055162088205975,0.8118942741554893,0.008915108852424363,0.02111931883007315,1.1920928955078125e-07,1.0028370209038258
0.11,deterministic:11,3.0446308370427095,0.5639636445938465,5.525298029491573,0.25,0.0,0.045729702330762456,1692.5000000000007,0.9055162088205975,0.9998428061600738,0.008915108852424363,3.5896637001342296e-08,5.960464477539063e-08,0.04765649139881134
0.11,deterministic:22,3.045096522522713,0.5644293300738501,5.525763714971577,0.25,0.0,0.045729702330762456,1692.5000000000007,0.9055162088205975,0.9998630322723531,0.008915108852424363,3.4819543050263776e-08,5.960464477539063e-08,0.047166794538497925
0.11,deterministic:33,3.047136829143013,0.56646963669415,5.5278040215918764,0.25,0.0,0.045729702330762456,1692.5000000000007,0.9055162088205975,0.9999154278486885,0.008915108852424363,3.727577114428568e-08,5.960464477539063e-08,0.04690104350447655
0.11,euclidean:11,0.15126585432260659,-2.3294013381262566,2.6319330467714694,0.25,0.0,0.045729702330762456,1692.5000000000007,0.9055162088205975,0.9194420156809076,0.008915108852424363,0.027745061536766133,1.3739147186279297,0.33968687057495117
0.11,euclidean:22,0.19860757434805415,-2.282059618100809,2.679274766796917,0.25,0.0,0.045729702330762456,1692.5000000000007,0.9055162088205975,0.8978632750546827,0.008915108852424363,0.017192665029862733,1.3339812755584717,0.34009238332509995
0.11,euclidean:33,0.21797745836573407,-2.262689734083129,2.698644650814597,0.25,0.0,0.045729702330762456,1692.5000000000007,0.9055162088205975,0.8864786244054379,0.008915108852424363,0.020641801345296525,1.785945177078247,0.3404816761612892
0.11,autoregressive:11,22.891477451534957,20.410810259086094,25.37214464398382,0.25,0.0,0.045729702330762456,1692.5000000000007,0.9055162088205975,0.10068665118755182,0.008915108852424363,0.012578756255058648,1.6689300537109375e-05,0.6104276403784752
0.11,autoregressive:22,22.665981076221303,20.18531388377244,25.146648268670166,0.25,0.0,0.045729702330762456,1692.5000000000007,0.9055162088205975,0.10231338985595427,0.008915108852424363,0.013493391230187682,2.574920654296875e-05,0.6042020693421364
0.11,autoregressive:33,24.820904944099908,22.340237751651046,27.30157213654877,0.25,0.0,0.045729702330762456,1692.5000000000007,0.9055162088205975,0.033189045177609046,0.008915108852424363,0.012991275706895004,1.0967254638671875e-05,0.6032175868749619
0.11,retrieval:0,0.001269197265974048,-2.479397995182889,2.481936389714837,0.25,0.125,,716.2500000000005,0.9055162088205975,0.9053157223326226,0.008915108852424363,0.008747371313355583,,
0.13,rfm:11,2.551262803554471,0.07059561110560786,5.031929996003334,0.609375,0.015625,,4410.0,0.8838038511224104,0.7392607391810486,0.01661557379404781,0.046214309659724125,1.1920928955078125e-07,1.0464825220406055
0.13,rfm:22,4.149904675959235,1.6692374835103716,6.630571868408097,0.609375,0.234375,,3912.4999999999995,0.8838038511224104,0.6855367417328826,0.01661557379404781,0.047276419916708716,1.1920928955078125e-07,1.0014462247490883
0.13,rfm:33,2.948715521597499,0.4680483291486359,5.429382714046362,0.609375,0.265625,,3937.500000000002,0.8838038511224104,0.7331686372548227,0.01661557379404781,0.041140220585157025,1.1920928955078125e-07,1.002818364650011
0.13,deterministic:11,3.7804057077911146,1.2997385153422516,6.261072900239977,0.609375,0.0,0.045729702330762456,4435.000000000001,0.8838038511224104,0.9997494742937921,0.01661557379404781,2.9636431969886655e-08,5.960464477539063e-08,0.047038484364748
0.13,deterministic:22,3.7838454893711555,1.3031782969222925,6.264512681820019,0.609375,0.0,0.045729702330762456,4435.000000000001,0.8838038511224104,0.9998735635310475,0.01661557379404781,2.981970204398731e-08,5.960464477539063e-08,0.04736870154738426
0.13,deterministic:33,3.7846621427825475,1.3039949503336845,6.26532933523141,0.609375,0.0,0.045729702330762456,4435.000000000001,0.8838038511224104,0.9998905217428644,0.01661557379404781,3.0824185740525735e-08,5.960464477539063e-08,0.04752032458782196
0.13,euclidean:11,0.6457402145789706,-1.8349269778698925,3.1264074070278336,0.609375,0.0,0.045729702330762456,4435.000000000001,0.8838038511224104,0.8355698764101898,0.01661557379404781,0.04513211043987214,1.3664028644561768,0.3399118222296238
0.13,euclidean:22,1.2581291623700308,-1.2225380300788322,3.738796354818894,0.609375,0.0,0.045729702330762456,4435.000000000001,0.8838038511224104,0.8067426821940323,0.01661557379404781,0.03991759496687266,1.5331552028656006,0.33950742706656456
0.13,euclidean:33,0.7471136476082045,-1.7335535448406585,3.2277808400570676,0.609375,0.0,0.045729702330762456,4435.000000000001,0.8838038511224104,0.8258546350202056,0.01661557379404781,0.03736652052138398,1.443666934967041,0.34014198929071426
0.13,autoregressive:11,20.956708375806393,18.47604118335753,23.437375568255256,0.609375,0.0,0.045729702330762456,4435.000000000001,0.8838038511224104,0.12019148769168028,0.01661557379404781,0.012427859201188758,7.987022399902344e-06,0.598289780318737
0.13,autoregressive:22,21.29496445584503,18.814297263396167,23.775631648293892,0.609375,0.0,0.045729702330762456,4435.000000000001,0.8838038511224104,0.10663096611257122,0.01661557379404781,0.013155358567903442,1.3709068298339844e-05,0.5980215184390545
