theta,model,initial,path,negative_endpoint,crossed_zero,committed_switch,crossing_return,unresolved_transition,first_switch_time,censored,endpoint_mz
0.11,R2,1,0,0,0,0,0,0,,1,0.8168835866451264
0.11,R2,1,1,1,1,1,0,0,15920.0,0,-0.8686519503593445
0.11,R2,1,2,0,1,0,1,0,,1,0.8033598813414574
0.11,R2,1,3,0,0,0,0,0,,1,0.7693439507484436
0.11,R2,1,4,0,0,0,0,0,,1,0.868539559841156
0.11,R2,1,5,0,0,0,0,0,,1,0.8533037376403808
0.11,R2,1,6,0,0,0,0,0,,1,0.8452967321872711
0.11,R2,1,7,0,0,0,0,0,,1,0.8317440319061279
0.11,R2,1,8,0,1,0,0,1,,1,0.276682743281126
0.11,R2,1,9,0,0,0,0,0,,1,0.8480994677543641
0.11,R2,1,10,0,0,0,0,0,,1,0.8757579874992371
0.11,R2,1,11,0,0,0,0,0,,1,0.8310174369812011
0.11,R2,1,12,0,0,0,0,0,,1,0.7665160582959651
0.11,R2,1,13,1,1,1,0,0,10800.0,0,-0.9043909478187561
0.11,R2,1,14,0,0,0,0,0,,1,0.8045581984519958
0.11,R2,1,15,0,0,0,0,0,,1,0.9185266780853272
0.11,R2,2,0,1,1,0,0,1,,1,-0.08520292818546295
0.11,R2,2,1,0,0,0,0,0,,1,0.8607981848716736
0.11,R2,2,2,1,1,1,0,0,4800.0,0,-0.8908325743675232
0.11,R2,2,3,0,0,0,0,0,,1,0.848251975774765
0.11,R2,2,4,0,0,0,0,1,,1,0.4282658588886261
0.11,R2,2,5,0,0,0,0,0,,1,0.8324334371089935
0.11,R2,2,6,0,0,0,0,0,,1,0.9106796503067016
0.11,R2,2,7,1,1,1,0,0,5520.0,0,-0.7505469761788846
0.11,R2,2,8,0,0,0,0,0,,1,0.9211252737045288
0.11,R2,2,9,0,0,0,0,0,,1,0.8578758931159973
0.11,R2,2,10,1,1,1,0,0,11520.0,0,-0.9171478462219238
0.11,R2,2,11,0,0,0,0,0,,1,0.8148489093780518
0.11,R2,2,12,0,0,0,0,0,,1,0.8371034336090087
0.11,R2,2,13,0,0,0,0,0,,1,0.8260113489627838
0.11,R2,2,14,0,0,0,0,0,,1,0.7812668120861054
0.11,R2,2,15,0,0,0,0,0,,1,0.887678542137146
0.11,R2,3,0,0,0,0,0,1,,1,0.4535169541835785
0.11,R2,3,1,0,0,0,0,0,,1,0.8310985326766968
0.11,R2,3,2,0,1,0,1,0,,1,0.7772188460826874
0.11,R2,3,3,1,1,1,0,0,10080.0,0,-0.8183620119094849
0.11,R2,3,4,0,0,0,0,0,,1,0.880211284160614
0.11,R2,3,5,0,0,0,0,0,,1,0.8003241747617722
0.11,R2,3,6,1,1,1,0,1,7200.0,0,-0.46100899785757066
0.11,R2,3,7,0,0,0,0,0,,1,0.706622860878706
0.11,R2,3,8,0,0,0,0,0,,1,0.8590484070777893
0.11,R2,3,9,0,0,0,0,0,,1,0.8482220149040223
0.11,R2,3,10,0,0,0,0,0,,1,0.7843081802129745
0.11,R2,3,11,0,0,0,0,0,,1,0.7775782692432404
0.11,R2,3,12,0,0,0,0,0,,1,0.7764411336183548
0.11,R2,3,13,0,0,0,0,0,,1,0.7788960325717926
0.11,R2,3,14,1,1,1,0,0,2240.0,0,-0.8244045686721801
0.11,R2,3,15,0,0,0,0,0,,1,0.8276945719122887
0.11,RFM11,0,0,0,0,0,0,0,,1,0.7200726568698883
0.11,RFM11,0,1,0,0,0,0,1,,1,0.5875414848327637
0.11,RFM11,0,2,0,0,0,0,0,,1,0.7099041840434075
0.11,RFM11,0,3,0,1,0,1,1,,1,0.5844956511259078
0.11,RFM11,0,4,0,0,0,0,1,,1,0.5018166375160217
0.11,RFM11,0,5,0,0,0,0,0,,1,0.6707978689670563
0.11,RFM11,0,6,0,0,0,0,0,,1,0.8803104662895203
0.11,RFM11,0,7,0,0,0,0,1,,1,0.5159231640398503
0.11,RFM11,0,8,1,1,0,0,1,,1,-0.16323256015777587
0.11,RFM11,0,9,0,0,0,0,1,,1,0.5886971271038055
0.11,RFM11,0,10,0,0,0,0,0,,1,0.6139530500769615
0.11,RFM11,0,11,1,1,0,0,1,,1,-0.24926775962114334
0.11,RFM11,0,12,0,1,0,1,0,,1,0.8623278355598449
0.11,RFM11,0,13,0,0,0,0,0,,1,0.7274159061908722
0.11,RFM11,0,14,0,0,0,0,0,,1,0.648069076538086
0.11,RFM11,0,15,0,0,0,0,0,,1,0.6303276348114014
0.11,RFM11,1,0,0,0,0,0,0,,1,0.6454002630710601
0.11,RFM11,1,1,0,0,0,0,0,,1,0.7538216097652912
0.11,RFM11,1,2,0,0,0,0,1,,1,0.5283460450172425
0.11,RFM11,1,3,0,0,0,0,1,,1,0.5387770766019822
0.11,RFM11,1,4,0,0,0,0,0,,1,0.7562286996841431
0.11,RFM11,1,5,0,1,0,1,1,,1,0.22644150875508784
0.11,RFM11,1,6,0,0,0,0,0,,1,0.7532649894058704
0.11,RFM11,1,7,0,1,0,1,1,,1,0.3817978620529175
0.11,RFM11,1,8,0,0,0,0,0,,1,0.8326751661300659
0.11,RFM11,1,9,0,0,0,0,1,,1,0.544717648923397
0.11,RFM11,1,10,0,0,0,0,0,,1,0.6026294314861298
0.11,RFM11,1,11,0,0,0,0,0,,1,0.6268482303619385
0.11,RFM11,1,12,0,0,0,0,1,,1,0.3867184345424175
0.11,RFM11,1,13,0,0,0,0,0,,1,0.8761963295936585
0.11,RFM11,1,14,0,0,0,0,1,,1,0.13489897459745406
0.11,RFM11,1,15,0,1,0,1,1,,1,0.44174906611442566
0.11,RFM11,2,0,0,0,0,0,1,,1,0.4898157653212547
0.11,RFM11,2,1,0,0,0,0,1,,1,0.21614649891853333
0.11,RFM11,2,2,0,0,0,0,0,,1,0.655406394302845
0.11,RFM11,2,3,0,1,0,1,1,,1,0.5829884481430053
0.11,RFM11,2,4,0,0,0,0,1,,1,0.5853705531358719
0.11,RFM11,2,5,0,0,0,0,0,,1,0.621321776509285
0.11,RFM11,2,6,0,0,0,0,1,,1,0.5222848588228226
0.11,RFM11,2,7,0,0,0,0,1,,1,0.49268140316009523
0.11,RFM11,2,8,0,0,0,0,1,,1,0.5427518343925476
0.11,RFM11,2,9,0,0,0,0,1,,1,0.538631549179554
0.11,RFM11,2,10,0,0,0,0,1,,1,0.5255130535364151
0.11,RFM11,2,11,0,0,0,0,0,,1,0.6700629186630249
0.11,RFM11,2,12,0,0,0,0,1,,1,0.5288579344749451
0.11,RFM11,2,13,0,0,0,0,1,,1,0.07057504013180732
0.11,RFM11,2,14,0,0,0,0,1,,1,0.35387558460235596
0.11,RFM11,2,15,0,0,0,0,0,,1,0.7038377891480923
0.11,RFM11,3,0,0,0,0,0,0,,1,0.8216333615779877
0.11,RFM11,3,1,0,0,0,0,0,,1,0.7119572901725769
0.11,RFM11,3,2,1,1,0,0,1,,1,-0.02325563654303551
0.11,RFM11,3,3,0,1,0,1,1,,1,0.03482711963355541
0.11,RFM11,3,4,0,0,0,0,1,,1,0.5582855518162251
0.11,RFM11,3,5,0,0,0,0,1,,1,0.5406694519519806
0.11,RFM11,3,6,0,1,0,0,1,,1,0.20841852068901062
0.11,RFM11,3,7,0,0,0,0,1,,1,0.5709140014648437
0.11,RFM11,3,8,0,0,0,0,1,,1,0.30164635598659517
0.11,RFM11,3,9,0,0,0,0,0,,1,0.6003517927229405
0.11,RFM11,3,10,0,0,0,0,0,,1,0.8927803707122802
0.11,RFM11,3,11,0,0,0,0,1,,1,0.3598200919199735
0.11,RFM11,3,12,0,0,0,0,1,,1,0.5116111242771149
0.11,RFM11,3,13,0,0,0,0,0,,1,0.9066550564765931
0.11,RFM11,3,14,0,0,0,0,1,,1,0.5781938391923904
0.11,RFM11,3,15,0,0,0,0,1,,1,0.33436220794916155
0.11,RFM11_64,0,0,0,0,0,0,0,,1,0.7188143920898438
0.11,RFM11_64,0,1,0,0,0,0,1,,1,0.5834989678114653
0.11,RFM11_64,0,2,0,0,0,0,0,,1,0.7115798491239548
0.11,RFM11_64,0,3,0,1,0,1,1,,1,0.5766360706090927
0.11,RFM11_64,0,4,0,0,0,0,1,,1,0.4951948845386505
0.11,RFM11_64,0,5,0,0,0,0,0,,1,0.6704424154013395
0.11,RFM11_64,0,6,0,0,0,0,0,,1,0.8774795484542847
0.11,RFM11_64,0,7,0,0,0,0,1,,1,0.5143451106548309
0.11,RFM11_64,0,8,1,1,0,0,1,,1,-0.1734967988729477
0.11,RFM11_64,0,9,0,0,0,0,1,,1,0.5847865474224091
0.11,RFM11_64,0,10,0,0,0,0,1,,1,0.5950227862596512
0.11,RFM11_64,0,11,1,1,0,0,1,,1,-0.25563062220811844
0.11,RFM11_64,0,12,0,1,0,1,0,,1,0.8618544882535935
0.11,RFM11_64,0,13,0,0,0,0,0,,1,0.7250627607107163
0.11,RFM11_64,0,14,0,0,0,0,0,,1,0.6441579186916351
0.11,RFM11_64,0,15,0,0,0,0,0,,1,0.6262657856941223
